symbol,company,sector,market_cap_billions,date,close_price,daily_return_pct,volume_millions,volatility_pct,ma_7,ma_30,performance_category,risk_category
LNVGY,Lenovo Group Limited,Technology,17.775878144,2025-06-03,22.24111557006836,-0.69323755076902,0.0891,,22.72630500793457,,Down,
AAPL,Apple Inc.,Technology,3445.050310656,2025-06-03,203.03956604003903,0.77838466493975,46.3816,,200.0115770612444,,Up,
MSFT,Microsoft Corporation,Technology,3766.312763392,2025-06-03,462.2101745605469,0.21646280560383,15.7438,,458.1340114048549,,Up,
HPQ,HP Inc.,Technology,26.676396032,2025-06-03,25.09303474426269,1.8867908454759799,8.3935,,25.940486907958984,,Up,
DELL,Dell Technologies Inc.,Technology,82.620063744,2025-06-03,111.44445037841795,3.5344212284856096,6.6439,,111.65074702671596,,Strong Up,
IBM,International Business Machines,Technology,226.815557632,2025-06-03,263.41900634765625,0.49261875187804,2.4947,,259.5238996233259,,Up,
INTC,Intel Corporation,Technology,106.579460096,2025-06-03,20.290000915527344,2.78622670104531,80.4019,,20.114285605294363,,Strong Up,
AMD,Advanced Micro Devices,Technology,263.9224832,2025-06-03,117.30999755859376,2.33795722706944,37.1615,,113.34714181082587,,Strong Up,
NVDA,NVIDIA Corporation,Technology,4239.080554496,2025-06-03,141.21018981933594,2.79515803628485,225.5788,,136.35053362165178,,Strong Up,
QCOM,Qualcomm Incorporated,Technology,173.42767104,2025-06-03,148.0506591796875,1.5753917122863499,6.1641,,146.36649213518416,,Up,
SONY,Sony Group Corporation,Technology,166.666354688,2025-06-03,26.770000457763672,-0.40922137811477005,5.8051,,26.43428557259696,,Down,
GOOGL,Alphabet Inc.,Communication Services,2578.2976512,2025-06-03,165.97906494140625,-1.68609336310876,45.0849,,170.1568647112165,,Down,
AMZN,Amazon.com Inc.,Consumer Cyclical,2442.26195456,2025-06-03,205.7100067138672,-0.45486920415204,33.1391,,204.971429007394,,Down,
TSLA,Tesla Inc.,Consumer Cyclical,1076.855177216,2025-06-03,344.2699890136719,0.46105417753929,99.3245,,350.13999720982144,,Up,
META,Meta Platforms Inc.,Communication Services,1855.717900288,2025-06-03,666.3372802734375,-0.60367412249654,11.585,,648.5367170061384,,Down,
LNVGY,Lenovo Group Limited,Technology,17.775878144,2025-06-04,22.270227432250977,0.13089209527686999,0.0281,116.49155049020305,22.562726974487305,23.242871030171717,Up,High Risk
AAPL,Apple Inc.,Technology,3445.050310656,2025-06-04,202.590087890625,-0.22137466021052,43.604,569.7528915048651,201.08892604282923,204.5442138671875,Down,High Risk
MSFT,Microsoft Corporation,Technology,3766.312763392,2025-06-04,463.1086730957031,0.19439176907138,14.1627,2715.0482562205657,460.08651297433033,436.6613433837891,Up,High Risk
HPQ,HP Inc.,Technology,26.676396032,2025-06-04,24.89529800415039,-0.78801445153028,12.7213,159.29638452715915,25.545009885515487,26.399758847554526,Down,High Risk
